term,count,community,degree_centrality,betweenness,eigenvector
graph,9,22,0.04852824184566428,0.04609497577121164,0.13090974533970298
llms,9,14,0.046937151949085126,0.035656771129375646,0.2092062747069962
prediction,8,21,0.04136833731105807,0.030769253245679633,0.09181285178891427
reasoning,7,14,0.03659506762132061,0.026843775778759234,0.14760308785713402
diffusion,7,20,0.03818615751789976,0.0386277628078772,0.09500497763774023
causal,7,18,0.03659506762132061,0.02926646032062427,0.12724544846433355
visual,7,12,0.038981702466189344,0.029683718860810008,0.1005733059457924
flow,7,9,0.03818615751789976,0.027971976682655938,0.0816390532333089
multimodal,6,10,0.031821797931583136,0.022015273851794612,0.09358622379964629
tasks,6,7,0.03261734287987272,0.03137865487128107,0.10166688893215713
policy,6,15,0.03341288782816229,0.022016849373850345,0.07185823739678436
learning,6,0,0.03341288782816229,0.03662798515638291,0.08596302002411409
context,6,7,0.031821797931583136,0.0165596944957132,0.10471205586815178
quantum,6,6,0.031821797931583136,0.02135809033718575,0.06991696274159205
gradient,6,22,0.03102625298329356,0.0197269614084447,0.081540250420873
knowledge,6,14,0.03261734287987272,0.01977681751422694,0.12411480631367292
evaluation,6,12,0.03261734287987272,0.018731457441921444,0.12412561886031355
text,6,10,0.031821797931583136,0.020345612659083384,0.09768114859997121
optimization,6,6,0.03261734287987272,0.023735929508365585,0.07470566425067973
systems,6,17,0.03341288782816229,0.02374727890824211,0.038906063092289375
image,6,10,0.03023070803500398,0.016407578201899947,0.0980243586523033
human,6,14,0.03341288782816229,0.02097406408578807,0.08603930803806586
kernel,5,23,0.02466189339697693,0.010814341482890255,0.08209402874392065
rate,5,9,0.027048528241845664,0.016795710330187782,0.07035226135188159
control,5,0,0.027048528241845664,0.018939578886785345,0.05164567508961814
generation,5,10,0.027844073190135245,0.01687158082251406,0.06977295631733699
selection,5,8,0.027844073190135245,0.018709337001173464,0.05492463151020791
online,5,20,0.027844073190135245,0.023706832861634285,0.05485616552117841
fine,5,2,0.026252983293556086,0.014530448900351229,0.04366441750009893
model,5,4,0.027048528241845664,0.020956226689460754,0.0460863347329772
bayesian,5,8,0.026252983293556086,0.010049476950058579,0.06389591358990242
uncertainty,5,8,0.026252983293556086,0.012871076983224027,0.07582685951501814
detection,5,12,0.027048528241845664,0.017856348427498232,0.09824291093834751
speech,5,14,0.027048528241845664,0.016347909896343098,0.09784375354755223
inference,5,18,0.027844073190135245,0.018831446963713833,0.05438824619022285
space,5,3,0.027048528241845664,0.013167798221780646,0.0913743392623744
spatial,5,10,0.026252983293556086,0.016852623691340628,0.09123379825502712
alignment,5,15,0.027844073190135245,0.016733991187140296,0.05879470013005119
latent,5,3,0.027844073190135245,0.023696382923543445,0.08637986938414921
dynamic,4,13,0.022275258552108195,0.015544738450295706,0.06603990274089556
information,4,0,0.022275258552108195,0.011150570784168269,0.03025951007894654
inverse,4,5,0.021479713603818618,0.010896482895451537,0.03945543855619737
size,4,12,0.021479713603818618,0.010406480343332258,0.08491635127277213
clustering,4,18,0.022275258552108195,0.014596779560990467,0.053882313452745495
federated,4,23,0.021479713603818618,0.012479676074549202,0.04818293110801611
modeling,4,10,0.022275258552108195,0.012040506368967568,0.051486569720906435
tree,4,18,0.022275258552108195,0.011322601559002454,0.0654906978379805
query,4,7,0.021479713603818618,0.012050831511315365,0.04428991418513521
vision language,4,14,0.022275258552108195,0.010281516112344496,0.08876357114233248
agent,4,0,0.021479713603818618,0.010495112551544394,0.03300340089115378
spectral,4,8,0.022275258552108195,0.011961329627837674,0.048498842619776265
fusion,4,1,0.022275258552108195,0.01209003903228194,0.05757224475557999
networks,4,1,0.022275258552108195,0.012980559891659112,0.054793644255134014
reinforcement,4,20,0.020684168655529037,0.010871103958380679,0.08798173464814163
training,4,1,0.022275258552108195,0.012588230457366014,0.05775748906644325
feature,4,8,0.022275258552108195,0.011335394367434515,0.035486238622234524
recovery,4,5,0.022275258552108195,0.012574299402660152,0.030345978851962913
compression,4,6,0.022275258552108195,0.01268678914909034,0.024024117067319526
data,4,19,0.022275258552108195,0.013496052332608003,0.03159911539739973
automated,4,1,0.022275258552108195,0.018760865978027834,0.03660418308959438
distillation,4,11,0.020684168655529037,0.007584216377244567,0.09242628358798949
carlo,4,20,0.01909307875894988,0.010686963093090463,0.05483477700056327
convex,4,5,0.021479713603818618,0.011664625114173776,0.028676763284777577
language,4,14,0.021479713603818618,0.010528924552059673,0.09188152548414243
label,4,7,0.021479713603818618,0.013875970298070195,0.05368343399223985
deep,4,17,0.020684168655529037,0.008719944577946587,0.029379115629890738
multi view,4,23,0.017501988862370726,0.005078053089040536,0.08566819368864795
edge,4,9,0.022275258552108195,0.01453123527762677,0.031838117851312915
3d,4,12,0.021479713603818618,0.011459691223493407,0.05475075210712615
mixture,4,11,0.020684168655529037,0.010059035716952939,0.042003096245599274
hierarchical,4,8,0.021479713603818618,0.008881733536877282,0.038483297504862
search,4,18,0.022275258552108195,0.014255008790492383,0.0658257996144421
time,4,3,0.022275258552108195,0.014698110840873892,0.05470127162197346
tokens,4,3,0.021479713603818618,0.00824396189030623,0.08496577926553917
regression,4,18,0.022275258552108195,0.012806613815858922,0.04751063374422127
reinforcement learning,4,8,0.020684168655529037,0.01158174980847463,0.08490642025869946
retrieval,4,0,0.022275258552108195,0.009583596550342521,0.041789477887661776
distribution,4,2,0.022275258552108195,0.014031655722882253,0.03852075111633844
energy,4,13,0.022275258552108195,0.011994889699246615,0.036491075891874
view,4,23,0.017501988862370726,0.005078053089040536,0.08566819368864796
dimensional,4,9,0.022275258552108195,0.01171646786822321,0.07277699575537036
source,4,1,0.01909307875894988,0.006107786410144942,0.0633907219808764
forecasting,4,4,0.021479713603818618,0.007749118366087155,0.020325562310903406
foundation,4,14,0.020684168655529037,0.009264590750736486,0.08225338822825982
physics,4,3,0.022275258552108195,0.010306757953712999,0.06424149235664912
robustness,4,7,0.021479713603818618,0.01149512262048089,0.021759528591904394
frequency,3,12,0.016706443914081145,0.005712451981544674,0.026976904093196374
monte carlo,3,20,0.013524264120922832,0.0035066813967324847,0.04635674066211283
gaussian,3,22,0.01511535401750199,0.0030994154986941237,0.03281620745135052
objects,3,12,0.016706443914081145,0.005933047481598492,0.06464365860131716
temporal,3,1,0.016706443914081145,0.005252443636169865,0.03716736765286089
interpretable,3,8,0.015910898965791568,0.003449253982580363,0.040390984535529785
expert,3,16,0.016706443914081145,0.008792704247220423,0.06585010156524226
adversarial,3,23,0.016706443914081145,0.008499253772775205,0.0349554904446345
estimates,3,8,0.015910898965791568,0.0046290310055634954,0.035666300898092196
rl,3,1,0.016706443914081145,0.005368741771608532,0.034644465975631394
experts,3,11,0.01511535401750199,0.0074235365885378735,0.04230588173043776
resolution,3,4,0.016706443914081145,0.007097430590010178,0.024236317349508218
nonlinear,3,17,0.016706443914081145,0.006212284910219878,0.030066702769015477
risk,3,7,0.015910898965791568,0.004892614139313366,0.02147615416108254
operators,3,17,0.015910898965791568,0.005679194238589275,0.03247839726701009
optimizer,3,5,0.015910898965791568,0.009370068074112297,0.029127614994606442
local,3,5,0.016706443914081145,0.009751260660229152,0.0465517666906347
llm,3,16,0.016706443914081145,0.005988312579890012,0.0350134312229418
function,3,6,0.016706443914081145,0.006906838120954205,0.018936735811078364
nonconvex,3,22,0.016706443914081145,0.004232782052331692,0.03743591704948426
classification,3,7,0.01511535401750199,0.007648227430026608,0.04106643832470355
matrix,3,22,0.016706443914081145,0.008672386175080175,0.05564244975689868
estimators,3,18,0.014319809069212411,0.002016849051114491,0.046862442978892783
effect,3,18,0.013524264120922832,0.0013256505971039987,0.05076421140926865
sgd,3,5,0.015910898965791568,0.0071186011497822044,0.043472817632460546
structure,3,8,0.016706443914081145,0.0074892133294558365,0.043020125733217736
class,3,7,0.015910898965791568,0.005049324950748028,0.02405115622261196
scale,3,15,0.016706443914081145,0.005984304182325403,0.024573323090305414
threshold,3,5,0.016706443914081145,0.00948555513871145,0.025863555149467407
monte,3,20,0.013524264120922832,0.0035066813967324847,0.04635674066211284
gui,3,14,0.01511535401750199,0.005226127066980032,0.04150042817240297
bounds,3,5,0.015910898965791568,0.005874655168851937,0.016945892961895748
privacy,3,23,0.01511535401750199,0.0034253373008843184,0.042470169613156805
fl,3,9,0.015910898965791568,0.005087954312893469,0.025675381127666413
reward,3,14,0.015910898965791568,0.002362537602049372,0.04985000009883661
conformal,3,21,0.01511535401750199,0.0025728838739209,0.02563699922655867
computational,3,18,0.016706443914081145,0.005828146410958936,0.027721454835739377
unlearning,3,16,0.014319809069212411,0.0038677559417523936,0.03489645570637268
transfer,3,17,0.01511535401750199,0.005265164540298291,0.04584987147690656
aware,3,14,0.016706443914081145,0.009873368516759783,0.039446304140830515
long,3,18,0.016706443914081145,0.005694836681930356,0.042342593423981084
variables,3,20,0.016706443914081145,0.010556846725619212,0.03588629743623488
object,3,12,0.015910898965791568,0.0041807017939515904,0.05518602560545486
error,3,22,0.016706443914081145,0.00596892962568718,0.033165596147778274
samples,3,7,0.015910898965791568,0.0035382571291249815,0.01261661274302672
controller,3,0,0.016706443914081145,0.006514719672520763,0.030943595421186246
separation,3,1,0.01511535401750199,0.004346051468764873,0.04011206209124742
discovery,3,18,0.016706443914081145,0.010420275720789081,0.03207415658991441
stage,3,6,0.016706443914081145,0.005776290308206628,0.03551616210775029
estimation,3,4,0.016706443914081145,0.006568793168604106,0.027446691361422974
cnn,3,9,0.016706443914081145,0.009233002161704295,0.03687929514801451
foundation models,3,18,0.015910898965791568,0.004992037313430365,0.06158127466868982
point,3,13,0.015910898965791568,0.005431790622187042,0.014528582084168747
deep learning,3,17,0.01511535401750199,0.00335442029669788,0.022289184220958543
tensor,3,23,0.015910898965791568,0.0044785172270256236,0.04304719411262389
channel,3,11,0.016706443914081145,0.010641975292038544,0.02650687222694091
t2i,3,10,0.014319809069212411,0.0025959012308460587,0.0512689987063282
multi,3,0,0.016706443914081145,0.006538461172389124,0.024563565880961355
models,3,17,0.016706443914081145,0.006121651298940228,0.058717229017437075
adaptive,3,22,0.016706443914081145,0.006968382884059421,0.037191467285942255
pac,3,15,0.015910898965791568,0.008657377149530425,0.036603273688092616
rule,3,0,0.016706443914081145,0.006665181551484996,0.026466473762129954
target,3,16,0.014319809069212411,0.0032199421761872344,0.042934099175015644
diversity,3,4,0.016706443914081145,0.006979858831594072,0.02967560254836689
decomposition,3,23,0.015910898965791568,0.005249703284277834,0.054154420427443686
importance,3,8,0.016706443914081145,0.005820047462631386,0.025149631548522674
network,3,8,0.016706443914081145,0.006529243419871717,0.0409563454067597
step,3,11,0.016706443914081145,0.011745253052033592,0.03263023315492744
treatment,3,18,0.014319809069212411,0.0026698764570042104,0.04918199730026605
estimator,3,18,0.016706443914081145,0.007524263120763902,0.023603183624708052
transport,3,9,0.015910898965791568,0.005192736101917062,0.031491928647900055
adaptation,3,2,0.016706443914081145,0.006319592188295934,0.023391621183655294
safe,3,18,0.016706443914081145,0.006371327970833195,0.043813111014962124
level,3,14,0.016706443914081145,0.00866176011825173,0.04927536161842355
profiles,3,2,0.015910898965791568,0.0064539700138854334,0.019949520464848842
ai,3,6,0.016706443914081145,0.008608671390562468,0.030770635746299572
management,3,0,0.016706443914081145,0.005999118086925464,0.03694713835958926
attention,3,0,0.016706443914081145,0.006099092226813995,0.021887145410038996
multi agent,3,0,0.01511535401750199,0.002883888474153542,0.03362313131205518
vision,3,23,0.016706443914081145,0.006812755134279872,0.060897624954523714
communication,3,23,0.016706443914081145,0.008472144648123245,0.0334557331834139
bias,3,2,0.016706443914081145,0.006320618372746811,0.03343501690940337
method,3,0,0.016706443914081145,0.009136125545541366,0.024361600500822336
approximation,3,22,0.01511535401750199,0.005238065790697229,0.025133481552725066
series,3,4,0.01511535401750199,0.00267369297344722,0.02082473155421693
time series,3,4,0.01511535401750199,0.00267369297344722,0.02082473155421693
representation,3,4,0.015910898965791568,0.004773804317169768,0.03985019141451514
representations,3,17,0.016706443914081145,0.006996967076387002,0.03701586905898119
representation learning,3,4,0.015910898965791568,0.007299670312864181,0.04860267994056446
depth,3,12,0.015910898965791568,0.004364360524464252,0.03355797676906294
grained,3,12,0.015910898965791568,0.004122951105118235,0.036940659916049355
reconstruction,3,13,0.014319809069212411,0.004003319881649414,0.017130770768745612
deformation,3,13,0.014319809069212411,0.0029627948971957863,0.017993225273308808
trajectory,3,6,0.015910898965791568,0.004482324040945328,0.04885357641425873
cost,3,6,0.015910898965791568,0.004407244299516562,0.046013814527375275
free,3,18,0.015910898965791568,0.006701614552115426,0.04358129347799075
cross,3,14,0.014319809069212411,0.003450188351488838,0.038672607700429844
tuning,3,2,0.01511535401750199,0.005711702122723857,0.04772034509266034
end,3,15,0.016706443914081145,0.0071414766374012775,0.028809551682295327
node,3,18,0.016706443914081145,0.005575276116633143,0.03642142545861968
parametric,3,22,0.016706443914081145,0.006248016213746221,0.035021626820922164
fairness,3,7,0.015910898965791568,0.005190945418163994,0.02095051220234781
valued,3,17,0.015910898965791568,0.006398103898149314,0.04442075829961028
steering,3,2,0.015910898965791568,0.004409869381226349,0.01526750624940543
atomic,3,3,0.016706443914081145,0.006058552982953947,0.03799348804980605
audio,3,11,0.015910898965791568,0.005416920826844893,0.06282506457402605
retraining,2,4,0.010342084327764518,0.0012896067822394538,0.021913703641846978
inversion,2,8,0.011137629276054098,0.0024179637682609514,0.05173849799556157
measure,2,22,0.011137629276054098,0.0020801834903727188,0.032533206212189525
cognitive,2,0,0.011137629276054098,0.0017274498629535175,0.019480162572109928
states,2,1,0.011137629276054098,0.002944366370647513,0.031565632267665206
trained,2,15,0.011137629276054098,0.0020426453482947486,0.03047848719769286
optimization problem,2,18,0.011137629276054098,0.0023193969301257174,0.024025294171246818
neuron,2,11,0.011137629276054098,0.0045335609574127765,0.018677858969476033
differential privacy,2,23,0.010342084327764518,0.0012284121025814031,0.019396990016541018
measure valued,2,17,0.010342084327764518,0.0016685619524388223,0.03291634422807551
methods,2,8,0.011137629276054098,0.003114985533785499,0.024353119777679694
kernels,2,17,0.011137629276054098,0.0024630864855845125,0.019305756237788158
latent space,2,5,0.011137629276054098,0.00308640353572576,0.02422282629178461
generalization,2,5,0.011137629276054098,0.0016808669922263675,0.013631817991092796
meta,2,5,0.011137629276054098,0.0050300202297442415,0.03535181548878889
rotation,2,6,0.010342084327764518,0.0007721084416087146,0.019334662963777782
unlike,2,8,0.011137629276054098,0.001967123584273707,0.015814147986155686
box,2,10,0.011137629276054098,0.002207838273227797,0.02217958190732449
ood,2,15,0.011137629276054098,0.0022886746320394803,0.016752748695614807
specific,2,7,0.011137629276054098,0.0025584703503766623,0.021597161017494686
icl,2,7,0.010342084327764518,0.0006596903051769614,0.02847640675309177
diagonal,2,17,0.011137629276054098,0.0020560988459347525,0.025206124649791245
model free,2,18,0.010342084327764518,0.0011881114960016516,0.021790379466399567
properties,2,9,0.011137629276054098,0.002479726149544817,0.021485067548229764
neural network,2,15,0.011137629276054098,0.001372801532138124,0.021251979917268137
design,2,18,0.011137629276054098,0.0017733284285665499,0.0273040175530382
generates,2,0,0.011137629276054098,0.0029051922963569824,0.021791595449761763
projections,2,9,0.010342084327764518,0.0009105791081823576,0.02364264363885487
near perfect,2,13,0.011137629276054098,0.0031651276203142837,0.021044173226912034
tools,2,7,0.011137629276054098,0.0016925565116785838,0.03276126138334154
transformer,2,7,0.011137629276054098,0.002397741648709729,0.04216524812422291
fine tuning,2,2,0.00954653937947494,0.000432859810265449,0.019530323929030032
functions,2,2,0.011137629276054098,0.0031284423069288833,0.027028390344778833
trajectory optimization,2,6,0.010342084327764518,0.0008568987233951939,0.04060552748190387
circuit,2,7,0.010342084327764518,0.0014794958270662399,0.03549710301047942
ml,2,3,0.011137629276054098,0.002739713948412224,0.01836294443393335
surface,2,13,0.008750994431185363,0.00032522853621726086,0.014680986690183974
surface reconstruction,2,13,0.008750994431185363,0.00032522853621726086,0.014680986690183973
supervision,2,12,0.011137629276054098,0.002447918974090969,0.023784500878121513
fine grained,2,12,0.010342084327764518,0.0015017291431423487,0.022352758877533237
single,2,4,0.011137629276054098,0.0019583446924615355,0.023162738748046904
environments,2,19,0.011137629276054098,0.004967225720148545,0.040471193481540296
monitoring,2,19,0.011137629276054098,0.0022407386654428795,0.01350318799725028
self supervised,2,10,0.011137629276054098,0.0018056822772511173,0.019126507885065255
point cloud,2,13,0.010342084327764518,0.0009256537345551062,0.009526549915597834
modal,2,10,0.011137629276054098,0.0017854694517332318,0.016809450454157066
registration,2,13,0.011137629276054098,0.0018731455855987625,0.01043281766440047
output,2,2,0.010342084327764518,0.0011529741849914856,0.010508370287483916
anomaly,2,10,0.011137629276054098,0.002270712267705347,0.020635937013059293
paths,2,8,0.011137629276054098,0.003187407303434332,0.022225881980295167
anisotropic,2,10,0.011137629276054098,0.0037114761331578576,0.029209095847938356
sparse regression,2,17,0.011137629276054098,0.003831772921114843,0.019530419943935572
algorithms,2,18,0.011137629276054098,0.0035479364073750606,0.026870926675469666
robotic,2,23,0.011137629276054098,0.0025439170538889082,0.033408911831716404
peripheral,2,12,0.011137629276054098,0.0017797646741120176,0.02977893753008156
parameters,2,9,0.011137629276054098,0.0024081161086457114,0.01201043890040817
climb,2,14,0.011137629276054098,0.002451230314136351,0.025440117589706095
circuits,2,6,0.010342084327764518,0.0013935248685281417,0.013968813929616518
permutation,2,6,0.011137629276054098,0.001959598932358804,0.009503446697901263
synthesis,2,6,0.011137629276054098,0.0032742335125663146,0.031041022547527938
topologies,2,6,0.010342084327764518,0.0013935248685281417,0.01396881392961651
module,2,0,0.011137629276054098,0.003672045377482318,0.0395419609245323
schema,2,0,0.011137629276054098,0.002847332077458664,0.014108218862767476
residual,2,6,0.011137629276054098,0.002538075347411955,0.04058293979601382
regularisation,2,17,0.011137629276054098,0.003672247845918639,0.031315037321787566
text image,2,10,0.00954653937947494,0.0006370563843449174,0.04197985394667982
structured,2,4,0.011137629276054098,0.0024920363420479477,0.02936099313131068
mixture experts,2,11,0.00954653937947494,0.0007028161871084137,0.0214795788003907
dynamics,2,3,0.011137629276054098,0.0016984319939542074,0.03421009954980408
transformation,2,1,0.011137629276054098,0.0028010902872393105,0.01838339877860353
ageing,2,16,0.011137629276054098,0.0010446289792176628,0.02666217886072591
physics informed,2,7,0.00954653937947494,0.0012442302391866378,0.025158781172273756
informed neural,2,7,0.00954653937947494,0.0012442302391866378,0.02515878117227375
depth estimation,2,12,0.010342084327764518,0.000895028671783425,0.025309936927764485
speaker,2,23,0.011137629276054098,0.0023219977714565815,0.013050261480058318
assessment,2,21,0.011137629276054098,0.002948849313167765,0.02555231264223418
foundation model,2,14,0.010342084327764518,0.0013560722218343023,0.03503192977561815
think,2,14,0.011137629276054098,0.0012616541084369635,0.0477158442941015
spoken,2,14,0.010342084327764518,0.0009045041071077715,0.05313620163040301
motion,2,10,0.011137629276054098,0.003771088528167267,0.036215347639498706
spatial reasoning,2,10,0.00954653937947494,0.0005000305829773153,0.05676168737402597
attacks,2,23,0.011137629276054098,0.003172497391434084,0.023968174089648284
variance,2,18,0.011137629276054098,0.00444468509822806,0.014777646283820792
smooth,2,22,0.011137629276054098,0.0029129923981822004,0.03035603489498412
imitation,2,22,0.011137629276054098,0.0037235531373712777,0.034582930691302784
cloud,2,13,0.011137629276054098,0.003578567819283265,0.010177452931120391
segmentation,2,13,0.011137629276054098,0.0041356874036561665,0.01591374683450407
object detection,2,12,0.010342084327764518,0.0007833983339322924,0.04601308113259344
targeted,2,23,0.011137629276054098,0.0019780405023331472,0.01453791425511778
connection,2,15,0.011137629276054098,0.002494554841759262,0.03197171150278241
phase,2,2,0.010342084327764518,0.0011878971231052329,0.011697768570268137
interactive,2,21,0.011137629276054098,0.0022591193201942825,0.03220143366854427
machine learning,2,19,0.011137629276054098,0.002631090194788939,0.018684379219307604
measures,2,12,0.011137629276054098,0.0025631577445390462,0.02734156050406567
maps,2,12,0.011137629276054098,0.002279141341564116,0.0256497324201975
influence,2,6,0.011137629276054098,0.0030150972691094183,0.014161911671161695
matching,2,11,0.010342084327764518,0.0014972890875765363,0.026546925883225114
flow matching,2,11,0.010342084327764518,0.0014972890875765363,0.026546925883225096
average,2,11,0.011137629276054098,0.0016460435786894267,0.0309242115363859
enhancement,2,11,0.011137629276054098,0.0016878398266957952,0.02588972134557522
supervised learning,2,10,0.011137629276054098,0.0021225374796999806,0.0374313308466494
missing,2,18,0.011137629276054098,0.002503347456050771,0.03360442555893868
short,2,16,0.011137629276054098,0.003518174501972305,0.018499418884886126
